sponsor,trial_id,label,pred_prob,feat_phase_enc,feat_enroll_z,feat_gap_months,feat_prior_fail_rate_last3,feat_enroll_delta_last3,feat_enroll_slope_last3,feat_phase_prog_last3,feat_gap_mean_last3,feat_intv_diversity_last5,shap_phase_enc,shap_enroll_z,shap_gap_months,shap_prior_fail_rate_last3,shap_enroll_delta_last3,shap_enroll_slope_last3,shap_phase_prog_last3,shap_gap_mean_last3,shap_intv_diversity_last5
Novartis Pharmaceuticals,trial_61837,0.0,-0.21654445,1.1,0.2811124,0.17741273,0.1,-0.13351364,-0.20821354,-0.16666667,0.22669406,1.3,-0.0016058372864499696,0.00043221394632179564,-0.004003431329257817,-0.006688765792191185,-0.001106681711572582,0.0012229392238756309,-0.0015180053994950122,-0.005621881234467234,-1.6106199647765613e-05
University of Leipzig,trial_86677,0.0,0.5051154,1.2,0.41498375,8.594662,0.1,-0.12915394,-0.19884443,-0.116666675,8.788502,3.1,-0.00837804265500745,0.0019811685594143136,0.016342241405707468,0.021226218167613074,-0.00013615796205984792,-0.002672572212928354,-0.00023842850586136061,0.002318071823237025,0.026342166598180485
University of Chicago,trial_85757,1.0,0.27161694,0.5,-0.44304743,1.0020535,0.06666667,0.099291906,0.12782195,0.05,0.9111568,2.2,0.010942399528299574,0.008605615950048256,-0.00015834482202707893,0.015334934116332055,0.00019523023081490895,-0.004930398304691015,0.00037623120801961063,-0.0007351929772781485,0.01210440946255403
China Medical University Hospital,trial_19699,0.0,0.19153553,0.7,-0.025682682,2.700616,0.1,-0.051146507,-0.1869409,0.016666666,2.5002053,1.7,0.0032384847988141687,0.007636282444686225,0.012660433125988102,-0.0025439124262211428,0.0002638266155428891,0.0006371209958209364,0.0011475824045672476,0.006587759613679194,0.002516131423930346
"Allodynic Therapeutics, Inc",trial_4339,0.0,-0.26181284,0.3,-0.028104354,0.5848049,0.0,-0.08175297,-0.061314724,0.0,0.19493498,0.3,0.02292185751447687,0.008396184863332943,-0.008104846156810383,-0.03187065382841271,-8.182084916658134e-05,0.002352429502202901,0.000953028277869824,-0.008857050504323977,-0.027094040183030306
Takeda,trial_78274,1.0,-0.36485794,1.7,0.91202354,0.60123205,0.16666667,-0.07093587,-0.1772247,2.9802323e-09,0.54976046,1.0,-0.028689159758272582,-0.022372589889404278,0.0018495425371867844,0.035445043625090975,-0.0007936080021555743,-0.0003593544103483963,-0.0014333337471131274,-0.0040670056345375695,-0.008048490827750356
Boehringer Ingelheim,trial_13044,0.0,-0.16645569,0.5,-0.08921378,0.10184805,0.0,-0.057718884,-0.13720652,-0.016666662,0.12101301,2.4,0.007575358919682915,0.0014407569725273218,-0.004286038407344912,-0.026424409322842173,-0.0009244856325228767,0.0010617596957808331,-0.00016620197212880908,-0.005924872211802599,0.01809383861570677
Royal Marsden NHS Foundation Trust,trial_71070,0.0,-0.07138231,0.6,0.3591996,2.7991786,0.0,-0.16884704,-0.3308336,-0.18333334,2.8161533,2.0,0.010222007277829107,-0.0036139215197366604,0.008990916818504382,-0.028372300778973646,-0.0009269428328222025,0.0002911184981675233,-0.0026182742086679777,0.003730560438190412,0.01028985134654795
Novo Nordisk A/S,trial_63051,0.0,-0.86899626,1.2,0.51150596,0.3679672,0.0,-0.14388785,-0.38158616,-0.03333334,0.39534566,1.0,-0.013449215488217306,-0.002896834194772236,-0.003681656177173182,-0.030461412132226962,-0.0011434415462002222,-0.0031381131875295233,-0.007700050190671094,-0.00450144643109694,-0.00871728977476596
"University of California, San Francisco",trial_85503,0.0,0.6743941,1.1,-0.46352178,0.5946612,0.31666666,-0.09019652,-0.16233538,-0.116666675,0.5409993,2.0,0.00011218407066189776,0.01302624064863559,-0.001106668476494327,0.05542496104122659,-0.0007196694833023424,0.0014730285879788183,0.0009631246780640659,-0.005014026416073276,0.011526460855406184
AstraZeneca,trial_9130,0.0,-0.09761877,0.8,0.24634054,0.10513346,0.1,0.08594155,0.2568154,-0.050000004,0.091444224,2.6,0.0006439845374552535,-0.0020774109992344907,-0.0032719103675069765,0.0034213221236853914,-0.002283307707962943,-0.004384387866972927,-0.0016905664995908146,-0.005754277126407047,0.02720902612122154
Hoffmann-La Roche,trial_36548,0.0,0.06628254,0.9,-0.014732872,0.14455852,0.21666667,0.000923413,-0.15557626,-0.15,0.13305955,1.3,-0.0009224508971747127,0.0014291967084753645,-0.001496797906242874,0.014090332042614834,0.00010665844398184023,-0.0005793018816733344,-0.0013359709174263583,-0.005237504003387297,0.0035536697095740243
"Merck KGaA, Darmstadt, Germany",trial_50378,0.0,0.61989677,1.2,0.107495174,1.833265,0.26666668,0.061296217,-0.015568649,-0.04999999,1.6629705,2.9,-0.010219378988840618,-0.0013200060814251742,0.0010096915232823828,0.06712320602886639,0.00028493562802976024,-0.003383798042487668,-0.0042709555663317245,0.004585702482897423,0.022117181461202562
Celldex Therapeutics,trial_17930,0.0,0.10833816,0.5,0.027856946,9.199179,0.1,0.10653935,0.0618295,0.13333334,9.500891,1.7,0.010416015480383067,0.0030059067878533624,-0.013674603491385856,-0.00424698954287798,0.0012260191513173897,-0.0007210864057108726,0.001434265468238167,0.004630969451854544,-0.003177534666312569
Novartis Pharmaceuticals,trial_61831,0.0,0.13210118,1.6,-0.08349476,0.15441479,0.23333332,-0.26950404,-0.20509186,-0.1,0.1505818,1.0,-0.021643611714069266,0.008190841430122163,-0.005145628047703713,0.05654940331036912,-0.002615039663925931,0.002124757003640822,-0.001118187724685899,-0.005325409049944799,-0.005598294236158837
University of Oxford,trial_88152,0.0,0.19769329,0.4,0.17546812,1.163039,0.116666675,0.097569294,-0.12870738,0.033333335,1.1290897,2.7,0.012007673711690587,-0.004974654180661802,0.004743086817918195,-0.0011077910056315012,2.1290274987584594e-05,-0.006225012323616167,0.0007442813674837255,0.004458489648762397,0.023151206361784714
Roswell Park Cancer Institute,trial_70971,1.0,1.1370761,0.5,-1.0409789,1.8299795,0.5166667,0.13558471,0.23357156,0.06666666,1.6377825,1.9,0.008000001227541362,0.01819737795317911,0.00668813637946106,0.06307121375741388,0.00037305283504824845,0.0031508854175981696,0.0004233269670821874,0.010385560075031337,0.005596320467273472
PTC Therapeutics,trial_65150,1.0,0.22943866,0.6,-0.16517237,3.308419,0.033333335,0.087164015,0.09569165,-0.06666667,2.9683776,0.8,0.0134863403190393,0.00919305918388427,0.003937100570447065,-0.010382652566258204,0.0009274514912206497,0.000956763769570858,-0.0012329651469859323,0.008615812576933765,-0.01563528737105662
"Astellas Pharma Global Development, Inc.",trial_7028,0.0,0.0742828,0.5,-0.1960825,1.1991787,0.116666675,0.06061382,0.10097547,0.03333333,1.0425737,1.2,0.009072465457174985,0.008929470018036137,0.005546781503576225,-0.006849095486980544,-3.999550859834348e-05,-0.00031731819525058325,-0.000587040440256555,-0.0019091616913112478,-0.0010857650824909796
Mayo Clinic,trial_48246,0.0,0.7335686,0.6,-0.7776085,0.12813142,0.43333334,-0.09355102,-0.038800973,0.01666667,0.12429843,2.6,0.005847385162487626,0.01652876982627296,-0.0033292358957476877,0.05850379893943276,-8.920964780835556e-05,0.004660139250757304,0.002795274942355386,-0.006323189756152979,0.011336202588106971
Pfizer,trial_65902,0.0,0.28910327,1.4,0.55177075,0.20041068,0.26666668,-0.012819615,-0.12763497,-0.033333328,0.13470225,1.0,-0.012891109172967843,-0.005869901331957776,-0.0022910641932369206,0.07096811078762835,0.0004914978603199866,0.0014878498731166765,5.719150663971734e-05,-0.00830417379586831,-0.006213552353990962
Organon and Co,trial_64126,0.0,-0.91436785,1.9,0.7235121,0.30225873,0.0,-0.034603246,-0.07263512,0.01666667,0.2568104,1.5,-0.03972827883227728,-0.006652675185651836,-0.0018581828027726577,-0.027549399283357014,-0.00026779502904078066,-0.0006799861695698957,0.0016334984630963667,-0.00300971588360379,-0.0016624678722655512
Boehringer Ingelheim,trial_13661,0.0,-0.13602552,1.1,0.6803776,0.14784394,0.2,-0.04911698,0.0530776,-0.03333333,0.14784393,1.4,-9.962161743896983e-05,-0.00843544347058571,-0.004538878286042761,0.01720815714905663,-0.0005943063185298032,0.000556599770455192,0.00028332077728510937,-0.00738345529237579,-0.00370908507090644
michal roll,trial_94519,1.0,-0.3258954,0.1,0.057444643,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03007220394886099,0.008168905087767523,-0.013597131690559861,-0.029883725440213726,0.000615211130224513,0.0026792252020900026,0.0012705056860132676,-0.006463378769063404,-0.0312531856312562
Samsung Medical Center,trial_71970,0.0,0.09927611,0.9,-0.41688752,0.7096509,0.1,-0.05538231,-0.00760656,0.0,0.68281996,1.5,-0.0014250816604471762,0.000290843120866046,-0.001995601182722355,0.016602926706210913,0.00014408250006201965,-0.001217027046588917,0.0002997119445093039,-0.00039538727702755506,0.007825868030791753
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,trial_68064,0.0,0.3626509,0.4,-0.5031362,0.2365503,0.2,0.017450666,0.028053736,-5.9604646e-09,0.26666665,1.0,0.01826010767463595,0.010035247809941878,-0.004858093434621585,0.04412655086937801,-0.00155028412940355,-0.008990275718141991,-0.0006752372097147772,-0.005824912962392742,-0.0073198259406344725
Sanofi,trial_72419,0.0,-0.5880098,1.8,1.2609084,0.40082136,0.21666667,-0.13265826,-0.2119731,0.0,0.48295695,1.5,-0.03326202177922823,-0.029748535056710546,-0.001674600171695044,0.012345003149280366,-0.0004382061234590914,0.001206082426540565,0.0008016152922557064,-0.002264609715105155,0.001280514412101184
University of Alberta,trial_84483,1.0,0.36735457,0.6,-0.15170622,2.1355236,0.1,-0.062312137,-0.183761,-0.083333336,1.9531826,3.0,0.006931846870982554,0.001504662095230823,0.007636439540537873,-0.002355335508893425,-0.00011496613567203812,0.0012721380935862454,-0.0005549199758025831,0.0025839043026570697,0.023196846817438197
Ullevaal University Hospital,trial_82318,0.0,-0.26243085,0.3,0.19175354,8.003285,0.0,-0.047965605,-0.09593121,-0.05,4.0016427,0.3,0.026618853365485844,0.005762747315324418,-0.015907871069885563,-0.03034817836817529,0.0006952921992189627,0.002393984404435427,0.0008177167562744253,-0.008349262257439632,-0.02962928296797327
"AbbVie (prior sponsor, Abbott)",trial_1134,0.0,-0.5174433,1.2,0.47922468,0.69650924,0.0,0.024429489,0.061502285,-0.06666668,0.71129364,1.9,-0.00876090139331063,-0.0016091801983299035,-0.0012295445436779292,-0.03284743290476976,0.0007219679068776543,0.0010330863959513517,-0.002648900242814947,-0.003358052351724061,0.004423591059632599
"Kowa Research Institute, Inc.",trial_43979,0.0,0.37570754,0.9,0.08794871,4.6521564,0.21666667,0.08214562,-0.019088889,2.9802323e-09,4.0405207,1.2,0.00014047250384464986,0.0006971161279712521,0.01147435222466438,0.01644722800814074,0.0010867727762628708,-0.005403319515698289,-0.0006979175241969127,0.023479285999163817,0.0012933800580649407
Saniona,trial_72184,0.0,-0.11882848,0.2,-0.06224498,1.0973306,0.0,-0.03634774,-0.07269548,0.0,0.5486653,0.2,0.026390852137235927,0.010080904993594483,-0.00978040656333965,-0.026776631814997388,0.00041680290131073956,0.0023990135561178503,0.0007774700084178166,-0.008715927174323684,-0.03096926752338186
Indivior Inc.,trial_38714,0.0,-0.18999973,1.3,0.49044985,4.1987677,0.0,0.018679356,0.054587673,0.116666675,4.210267,1.0,-0.01902839983161539,-0.0073273171150750275,0.020055770783684236,-0.033031709722557076,0.0022150525513239,0.0049831847156374814,0.00528691598799101,0.019842462470488518,-0.006293048173611168
Sara Varea,trial_73488,0.0,0.2887995,0.7,-0.10494928,3.2032857,0.06666667,-0.0067368536,0.09638196,0.03333333,2.0703628,0.8,0.010329882295656716,0.011143225702604122,-0.0022997300049019905,-0.008360143489459251,0.0005191450149816005,0.0022778384547627005,0.0016646814717319886,-0.00628086900954108,-0.01947309897126979
Shanghai Henlius Biotech,trial_74333,1.0,-0.13339806,0.4,-0.1979714,0.4336756,0.0,0.041289527,0.04280415,0.03333333,0.41232032,1.6,0.013730330110352951,0.007183026743314569,-0.0022684029525664425,-0.03136679919532992,0.0006968395772479144,0.0025197420906667945,0.003247654340951011,-0.004612410645474761,-0.0009890009658847707
Wockhardt,trial_92856,0.0,0.45583102,0.2,-0.07817801,3.794661,0.033333335,0.070541635,0.07800019,0.13333334,3.8143737,0.9,0.020070207319240578,0.0081961201967188,-0.008555325546572927,-0.013457357926379698,0.0009678381674888377,0.0016580898080470168,0.0035690675988914364,0.005928517323624765,-0.012760241353025776
Alliance for Clinical Trials in Oncology,trial_4074,0.0,0.124355875,1.2,-0.1287924,0.39753595,0.116666675,0.030020038,-0.06690316,-0.01666667,0.3646817,2.5,-0.011668569342116825,0.005404800877644589,-0.0008453617206583967,-0.0034354639549254475,0.0002551902400447592,0.001939033758044777,0.0011441104502197517,-9.013111595914184e-06,0.029429840817203512
Imperial College London,trial_38348,0.0,-0.14630622,0.8,0.26129302,1.1728952,0.0,0.037227497,-0.01957289,-0.05,1.6158797,2.0,0.0026674315821146595,-0.00024920445444481137,-0.001633852281138643,-0.024854092657028516,0.000534806625256161,0.0009776564738154,0.0006613655950372915,-0.000759085302191385,0.022144586866896136
Memorial Sloan Kettering Cancer Center,trial_50113,0.0,-0.014050929,0.9,-0.13793305,0.44681725,0.0,-0.024983745,0.0938067,-5.9604646e-09,0.48350447,2.7,-0.0012853169059962963,0.010963684739296464,-0.0012181930921875688,-0.02650506638887229,-0.0004198746596107996,0.002220101943378988,0.0024169502680082746,-0.003285207526299426,0.025566060137905876
GlaxoSmithKline,trial_32899,1.0,-0.024401596,1.1,1.2101889,0.08870636,0.1,-0.030682653,0.03428641,0.066666655,0.09582476,2.3,-0.0065185263328457945,-0.018173645120441673,-0.0031146258434178085,0.016334840373577353,9.521014938226004e-05,-0.00014422896464199585,0.00011797779031839685,-0.004709434432876559,0.01972092487579357
Alliance for Clinical Trials in Oncology,trial_4237,0.0,0.33501852,1.5,0.1526896,0.561807,0.34999996,0.03990072,-0.032046102,-0.01666667,0.8657085,2.7,-0.018885730795533164,-0.004692020059184151,-0.002902250987753005,0.055388894598742314,0.0009459413381821162,-0.0038977753950605295,-0.0025524702813891006,-0.0012054137825647897,0.02106876904438832
Eli Lilly and Company,trial_24509,0.0,-0.29327214,1.3,0.40911824,0.29568788,0.0,-0.09552892,0.03623546,-0.016666666,0.38056126,2.4,-0.013418092934414743,0.0017969114986670497,-0.005395940195051574,-0.026429751473968997,-0.000927493372345993,0.001783114103731203,0.0013309829427676112,-0.003983070998467777,0.0259402301091759
University College Hospital Galway,trial_82707,0.0,-0.18457603,0.4,0.028277267,5.499795,0.0,0.050012708,0.08805906,0.0,2.1503081,0.5,0.020592638564587103,0.0041892197788475265,-0.011059590972545063,-0.03998587607308961,0.0008193492649205493,0.002097801955346388,0.0015201088926385894,-0.010955395417955727,-0.027544677322832285
University of Miami,trial_87139,0.0,0.9276513,1.0,-0.8835295,1.6065708,0.45000005,-0.13374254,-0.26635665,-0.033333328,1.7407255,2.4,-0.002938867546210531,0.016963359619170625,0.002055488121429012,0.06934458175592595,-0.00028325650218875045,0.003765816206338754,4.7850039807072634e-05,0.003751400828376529,0.010293703139061108
Eli Lilly and Company,trial_24521,0.0,-0.5939677,1.3,0.5420674,0.2989733,0.0,0.02601118,0.1555855,0.06666667,0.3154004,1.5,-0.01957011411874555,-0.00487014863607386,-0.0031585700459831056,-0.026285747520977752,0.0003131923695157363,-0.00021150719518386475,-0.00041841335131351096,-0.0040915114003276425,0.009108201209630351
Duke University,trial_23343,0.0,0.2670643,0.5,-0.57510316,0.7950719,0.1,0.025862087,0.029980605,0.06666666,0.7775496,1.7,0.012417276122258045,0.004318559190649173,-0.002312646995676708,0.016603346609058593,-0.00022249066029258335,-0.0078259255155728,-0.0010925025743886818,-0.002006075375798495,0.005882892608817201
Meshalkin Research Institute of Pathology of Circulation,trial_52084,0.0,0.07626643,1.0,0.02777185,2.3983572,0.0,0.0557041,0.14977218,0.083333336,2.2318962,2.6,-0.006932315618818392,0.00495622611891083,0.008315095845279811,-0.02955091113619101,0.0007268643678102854,0.00023798689007107433,0.0012806666203521882,0.010842631814721636,0.026077567438231197
GlaxoSmithKline,trial_33138,0.0,0.42074347,0.5,-0.3676176,0.1577002,0.3,-0.085425764,-0.09837975,-0.16666666,0.16919915,1.8,0.012109956512140344,0.01187426273587913,-0.002238731412741171,0.029994614802126264,0.0008244923821673497,0.0023964674428711462,-0.0008689377597987774,-0.005786831847031723,0.001681444558476869
Dana-Farber Cancer Institute,trial_22013,0.0,0.15929675,1.2,0.2591579,0.7983573,0.033333335,-0.11556035,-0.15262142,-0.033333335,0.7644079,2.2,-0.009028796890517696,0.0030948576780356132,-0.0009465828199053122,0.008396642833398596,-0.0005174299723906874,0.002260843437750901,-0.0008295127515694381,0.00019667915058008725,0.025783252794237342
Rennes University Hospital,trial_70262,0.0,0.87451553,1.7,-0.02688117,4.9412737,0.3,-0.11967544,-0.09929574,-0.1,5.5715265,3.1,-0.017425838110451876,0.007158474032068969,0.012599108584504314,0.05429515800772887,-0.00020476087216191692,-0.00163119145294693,1.5578366341599884e-05,0.02347727471682925,0.014447382519298117
Eli Lilly and Company,trial_25571,1.0,0.27277613,1.1,0.48462358,0.22012322,0.13333334,-0.30794692,-0.28146267,-0.18333335,0.22121835,1.0,-0.0027726542608506864,-0.001767985627103437,-0.00585849642716577,0.0551415698396077,-0.002950789722047183,0.00427644113177493,-0.002310493065055608,-0.006372087413957126,-0.007210907880653395
Bristol-Myers Squibb,trial_15967,0.0,-0.08427012,0.7,-0.07219596,0.18069814,0.116666675,0.08543752,-0.07412838,0.13333333,0.22943194,2.4,-0.0009365545454784296,0.004694020179110717,-0.002320428171454059,-0.0023525616616298,-1.6524841007370176e-05,-0.005984000632612474,-0.004456028597035384,-0.0037642820664959753,0.01808863370328618
"Janssen-Ortho Inc., Canada",trial_41446,0.0,0.112075195,1.1,-0.18796675,9.202464,0.18333334,0.18427926,0.39602005,-0.033333335,8.783572,0.6,0.004652470617449581,0.007507389759253835,-0.024128964038869077,-0.0035083594511663785,0.0018334509273378354,0.003784362045626699,0.0006776622765079872,0.0005142145951405318,-0.02572286962924409
Romark Laboratories L.C.,trial_70794,0.0,0.32338017,1.6,1.0741297,16.039425,0.16666667,0.14443228,0.14665878,0.1,16.528954,1.6,-0.022115017879812515,-0.021102094324532555,0.016719888106015733,0.023226684030048413,-0.0024729159045611972,-0.007262112470700799,0.0003556403207445998,0.04109722777456197,0.005496071873225446
Washington University School of Medicine,trial_92329,1.0,0.7483491,0.7,-0.35089153,0.56509244,0.48333335,0.10263363,-0.1125314,0.116666675,0.6286105,2.9,-0.0018724285780917851,0.0032671315222401543,-0.0021000761330356595,0.06218404255829826,0.000764240061181639,-0.00038790524051280067,-0.0013128424450807308,-0.0015858237537904087,0.023527619016836983
"Tetraphase Pharmaceuticals, Inc.",trial_79209,0.0,-0.1707823,0.3,-0.0038286746,3.4989734,0.0,-0.11629474,-0.18949533,-0.083333336,3.664887,0.6,0.022307051900424996,0.0070704405901917235,-0.00877099745559597,-0.029974639990299878,-0.00035200024203302865,0.0017361859652690963,-0.0019351322999613357,-0.004283182910659893,-0.02209435650856176
M.D. Anderson Cancer Center,trial_45764,0.0,0.3766833,0.9,-0.33953145,0.105133474,0.1,-0.0069884183,-0.0110946465,0.03333334,0.10787132,2.2,-0.0016023949265509152,0.007950423118378245,-0.00612988319169417,0.040142076080206424,0.0004512896791420821,0.0011227253309943623,-0.004463245271212041,-0.005262416569421084,0.01054240492428653
University of Sao Paulo General Hospital,trial_88893,0.0,0.21611738,0.7,-0.41876546,3.7026696,0.0,-0.101658955,-0.05370439,0.05,4.001643,2.9,0.0006386650064087,0.00993797314203039,0.003985312839361868,-0.028333073948656917,-0.00018993739346739527,0.0014181919018840105,-0.00017504010250982575,0.013149228145795375,0.026323676986809003
"Sanofi Pasteur, a Sanofi Company",trial_73207,0.0,-1.1961077,1.8,1.7167917,0.7950719,0.0,-0.06776984,-0.15380776,0.0,0.69541407,1.0,-0.03178576658241218,-0.04003695850115562,-0.0027634704420670306,-0.036681499493691205,0.00027810854699272076,0.0013706374225291146,0.000644789515350543,-0.003010680246454156,-0.011605963516252815
Swedish Orphan Biovitrum,trial_77582,0.0,0.6665489,0.8,-0.08008895,7.2016425,0.1,-0.17791653,-0.1884763,-0.18333335,6.748802,1.0,0.000628700257497257,0.009360508438758224,0.021430526704582807,0.024771078224548132,-0.0003188765000864707,0.0055939653723363365,-0.0028512488785494925,0.018247189522452318,-0.0043041806734836425
Eli Lilly and Company,trial_25879,0.0,-0.2468257,0.6,0.51114565,0.09856262,0.18333334,-0.07070653,-0.125137,-0.049999997,0.09691992,1.0,0.012137162465020083,-0.0038081787695848955,-0.0023417652359004875,0.002844496786669326,-0.0011155772147477064,-0.0025240189169482893,-0.003308256003193586,-0.005012454961640362,-0.009298915874431258
Biodel,trial_12435,0.0,-0.2907908,0.1,-0.050366558,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0283977865508059,0.007419477920313365,-0.01239573210611509,-0.029238407286260027,0.0006012232788896457,0.002168494558117151,0.0012033643604137927,-0.008318194286203288,-0.02970697808236582
Abbott Nutrition,trial_1477,0.0,-0.6885153,1.7,0.30078036,2.996304,0.0,0.12081987,0.2396195,0.1,3.1331964,1.0,-0.03904420183935144,-0.0003255212631863236,0.005334996899416704,-0.03123507895193457,0.001192404388243013,-0.00030054827993633776,0.0033545239256530038,0.011460553332309305,-0.008304044018979766
Bio-Thera Solutions,trial_12142,1.0,0.21052216,0.5,0.32851228,3.1967144,0.06666667,-0.13401741,-0.12526838,-5.9604646e-09,3.7738538,1.0,0.013175543036864837,-0.0005728789676306481,0.0010115876439140497,0.01206488866673951,-0.0006551655045098977,0.0008738525225644113,-0.0002667973174675559,0.01015555703443743,-0.006491276153887157
Hannover Medical School,trial_35177,0.0,-0.035858184,0.1,-0.32015276,13.595072,0.0,0.16041604,0.344488,-0.083333336,9.93128,0.6,0.03189492366937338,0.0019042088354579213,-0.020474648187518006,-0.0364528890958901,-4.031045510560056e-06,0.0010070995921964373,-9.075897812032843e-05,-0.006950761667668559,-0.029869580028964265
University of Pennsylvania,trial_88201,0.0,-0.08369048,0.8,-0.9377316,9.6,0.0,0.018026184,-0.19030462,0.116666675,9.031075,1.5,-0.0023384239253355183,-0.0032056965975581753,0.011209488730457485,-0.034122333295464664,-0.0012031535401973259,-0.0039282302844660996,0.0047300226235852,0.017480473015381682,-0.0034279964045999802
University of Utah,trial_89547,1.0,0.56348294,0.5,-0.51315457,0.96262825,0.31666666,-0.003096378,-0.12351736,-0.05,0.9746749,1.9,0.008686127447232139,0.01275695903591469,-0.0016163673188596887,0.03196230587755214,-0.0012184401270604233,-0.0002680528436644007,0.0004052539036450739,0.005004331677638622,0.012324032809439816
McMaster University,trial_48427,0.0,0.6060502,1.0,-0.25952727,3.7979465,0.28333333,0.037573226,0.05495389,0.01666668,4.695414,3.8,0.0010276859105215416,0.011855721358225265,0.0050744680803143545,0.020476637654081264,-0.00018814991698455787,-0.0012579648768394735,0.0017669970949779838,0.005615800465818284,0.0307386959590076
